id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Camélien;Rey;Boniface.Meunier75@yahoo.fr;repurpose withdrawal;2024-08-31T16:22:25;71697;45464
2;Azélie;Lacroix;Agnan.Chevalier@gmail.com;withdrawal;2024-08-31T20:19:17;75289;21024
3;Valéry;Aubry;Adalsinde.Perrin@gmail.com;Sleek;2024-08-31T05:22:41;71090;65309
4;Auguste;Roussel;Alaine.Sanchez@hotmail.fr;reinvent orchestrate;2024-08-31T00:52:18;52820;82484
5;Anastase;Fontaine;Laurence14@hotmail.fr;mobile Granite;2024-08-31T19:30:12;13439;33970
6;Adrienne;Roux;Marine.Olivier73@gmail.com;Kazakhstan time-frame;2024-08-31T04:16:24;64329;13556
7;Ernestine;Andre;Anal72@yahoo.fr;Devolved rich;2024-08-31T06:46:32;54588;45928
8;Christiane;Schneider;Astart8@yahoo.fr;payment Bretagne;2024-08-31T20:49:56;3244;21747
9;Désiré;Vasseur;Salom_Mercier98@hotmail.fr;white;2024-08-31T12:10:35;90189;81327
10;Acanthe;Rey;Aubertine79@gmail.com;Table Alsace Checking;2024-08-31T00:50:45;32637;8639
